"","age","Medu","traveltime","studytime","failures","freetime","goout","Walc","health","G2","G3"
"212",16,3,3,1,0,3,4,5,3,11,12
"213",17,4,2,1,1,2,4,3,2,15,16
"214",16,4,1,2,0,5,2,2,3,10,11
"215",16,4,1,2,0,3,5,5,2,14,15
"217",17,1,1,2,0,4,4,3,1,15,15
"218",17,2,1,1,0,3,2,2,3,13,13
"219",16,2,2,4,0,3,5,1,5,13,13
"220",17,3,1,3,1,4,3,4,5,9,8
"221",16,3,1,2,0,3,3,2,4,11,12
"222",16,4,1,2,0,3,2,1,1,15,15
"223",16,1,2,1,0,3,2,4,5,13,13
"224",17,4,2,3,0,4,2,1,4,12,12
"225",19,3,1,4,0,3,3,2,3,12,12
"226",17,4,1,2,0,3,5,5,3,12,12
"227",16,2,1,2,0,3,4,1,4,13,13
"228",18,2,1,2,0,4,4,4,5,11,11
"229",17,4,1,1,0,2,1,2,3,11,11
"230",17,3,2,2,0,4,4,3,1,16,15
"231",17,4,1,2,0,4,5,4,1,9,10
"232",18,3,1,2,0,2,4,4,4,10,10
"233",17,2,2,1,0,3,3,4,3,13,13
"234",17,2,1,3,0,3,3,1,4,12,13
"235",17,2,2,2,0,2,5,2,5,10,11
"237",16,2,1,2,0,3,1,1,3,13,14
"239",16,4,1,3,0,3,2,1,5,16,16
"240",18,3,1,2,0,3,3,1,4,8,8
"241",17,3,1,2,0,3,4,3,3,18,17
"244",17,2,2,3,0,2,3,2,3,15,16
"245",17,4,1,2,0,2,3,2,3,12,12
"247",17,4,1,2,0,5,5,3,2,13,13
"248",16,4,1,2,0,2,4,4,1,13,14
"249",16,1,2,2,0,4,2,1,5,9,9
"251",17,2,1,2,0,4,2,5,4,16,16
"252",16,2,1,1,0,5,2,1,5,10,10
"253",16,4,1,2,0,3,3,2,5,13,13
"254",18,2,2,2,1,3,3,1,3,10,10
"256",18,3,2,1,1,1,1,1,3,7,7
"257",18,2,1,1,1,4,3,2,1,8,8
"258",17,4,1,1,0,2,1,2,5,8,9
"259",17,3,1,2,0,4,2,1,3,14,15
"260",17,1,1,3,0,3,2,2,4,10,10
"261",16,1,1,1,0,3,5,2,5,11,11
"262",17,2,3,2,0,1,1,1,3,13,13
"263",17,1,4,1,1,5,4,1,5,9,8
"264",18,2,1,2,0,5,4,5,2,7,8
"265",17,2,1,1,1,1,2,1,1,9,10
"268",17,4,2,2,0,5,5,4,5,15,15
"272",17,4,1,2,0,3,1,4,5,11,12
"274",17,3,2,3,0,2,2,3,5,11,11
"276",18,2,2,3,0,4,4,1,3,10,11
"280",22,3,1,1,3,4,5,5,1,8,5
"281",18,3,1,2,0,3,3,3,5,9,10
"282",16,0,1,1,0,3,2,4,5,12,11
"284",16,3,3,2,1,3,3,3,2,11,10
"287",17,2,1,1,0,4,2,4,5,12,13
"288",17,1,2,1,1,4,4,2,5,10,10
"290",17,4,1,4,0,2,3,1,4,15,17
"291",19,2,1,2,0,3,3,1,5,10,11
"292",18,2,3,2,1,4,5,4,5,10,11
"293",17,4,1,3,0,3,4,3,5,12,14
"296",19,4,1,2,0,3,1,1,1,13,14
"297",18,2,1,2,0,2,4,2,4,16,16
"298",17,2,2,1,0,2,2,1,4,10,10
"299",17,2,1,4,0,4,1,1,2,11,12
"300",20,2,2,2,0,2,3,2,2,12,12
"303",18,3,1,3,0,3,2,1,3,11,12
"304",17,3,1,3,0,2,3,1,4,12,13
"305",18,2,1,3,0,3,3,1,3,12,13
"308",17,3,1,2,0,4,4,4,5,11,14
"309",18,4,2,2,0,3,4,2,4,11,12
"310",18,4,1,2,0,4,5,3,5,12,14
"311",18,2,2,2,0,3,5,2,3,9,10
"312",19,3,1,2,0,3,5,3,5,12,12
"313",18,2,1,4,0,5,5,3,2,16,16
"314",18,1,2,2,0,4,3,1,3,13,13
"315",17,1,1,2,0,5,2,2,1,17,18
"317",17,2,2,2,0,3,3,1,1,16,16
"318",17,2,2,2,0,4,4,3,5,12,12
"319",18,3,2,2,0,1,1,1,5,9,10
"320",18,4,2,1,0,2,4,4,3,12,12
"321",18,4,1,2,1,4,4,1,4,12,13
"322",17,2,3,3,0,2,3,1,1,15,15
"323",19,3,1,2,1,3,3,3,3,8,10
"324",18,4,2,1,0,2,3,2,1,10,10
"328",18,1,2,4,0,2,2,1,3,17,18
"329",18,1,2,2,0,4,4,1,4,13,13
"330",17,2,1,2,0,4,5,2,5,12,14
"331",18,2,2,2,0,3,1,1,5,13,14
"332",17,1,1,2,0,3,3,2,4,12,12
"333",18,2,1,3,0,3,3,2,2,18,18
"334",17,1,1,3,0,3,3,1,3,13,14
"335",18,2,1,3,0,2,4,3,2,15,15
"336",18,4,1,2,0,4,3,1,2,17,17
"337",18,4,1,2,0,3,2,4,5,16,16
"338",17,4,1,3,0,2,2,2,3,18,18
"339",17,3,2,4,0,1,2,1,3,19,19
"340",18,3,2,3,0,4,2,1,4,15,15
"341",17,3,1,1,0,4,3,3,5,15,15
"342",19,4,2,2,0,3,4,3,2,13,13
"343",18,4,2,2,0,4,5,2,2,14,14
"344",18,4,1,4,0,3,3,1,3,17,17
"346",18,4,1,2,0,2,4,1,4,15,15
"348",17,4,2,3,0,3,4,1,5,7,8
"349",17,4,2,3,0,3,3,1,3,16,16
"350",17,3,1,4,0,2,2,2,5,18,18
"353",19,3,1,2,0,5,3,2,5,10,11
"354",18,1,1,2,0,4,4,2,5,10,11
"356",17,2,2,2,0,2,1,1,3,12,14
"357",17,4,1,1,0,4,4,1,5,16,17
"358",18,4,1,3,0,3,4,1,5,15,17
"359",18,4,2,1,0,2,4,4,1,12,15
"362",19,4,2,2,0,4,4,1,1,10,10
"363",18,4,1,2,0,4,4,3,5,11,13
"364",18,3,1,1,0,4,4,1,1,12,14
"365",17,4,1,1,0,3,4,2,5,15,17
"367",17,3,1,2,0,3,3,1,5,12,13
"368",17,2,1,2,0,2,3,2,2,12,14
"369",18,4,1,1,0,2,5,4,5,9,11
"371",19,1,3,2,2,3,4,1,4,8,9
"372",18,2,1,1,0,3,5,4,5,10,10
"373",17,2,1,2,0,2,2,1,3,13,13
"374",17,2,1,3,0,3,2,2,3,11,10
"375",17,3,1,3,0,4,3,3,5,18,17
"376",17,0,2,3,0,3,3,3,2,14,15
"377",18,1,2,3,0,5,5,2,2,14,14
"379",17,3,1,1,0,3,5,5,5,18,17
"380",17,2,4,1,0,4,5,5,4,10,10
"381",17,4,1,3,0,4,4,3,4,12,13
"384",18,2,1,4,0,5,5,4,5,11,12
"385",19,3,1,1,0,3,4,2,5,10,10
"386",18,2,4,2,0,2,5,1,2,9,10
"387",17,2,1,3,0,4,3,1,5,15,15
"388",18,2,1,1,0,4,2,2,5,14,15
"389",18,3,1,2,0,3,4,1,4,11,12
"390",18,2,1,2,0,3,3,1,2,9,12
"391",18,2,2,4,0,4,4,1,4,13,14
"392",17,3,1,3,0,4,5,3,5,13,14
"393",17,3,1,2,0,3,2,3,2,13,15
"394",18,3,1,4,0,3,3,1,1,14,15
"395",17,3,1,2,0,3,3,3,2,14,16
"398",17,2,1,2,0,3,1,2,4,12,14
"399",18,2,1,3,0,3,3,2,3,12,14
"400",18,3,1,3,0,4,3,3,1,16,17
"402",18,4,1,3,0,4,5,3,5,13,14
"403",17,4,1,3,0,4,3,3,4,12,13
"404",17,2,2,2,0,3,4,2,1,15,15
"405",17,2,1,2,0,3,5,4,4,16,16
"406",19,2,2,1,1,2,3,4,5,11,11
"408",21,4,1,3,2,3,2,1,5,12,12
"409",18,2,1,2,0,4,4,3,3,11,12
"410",18,3,1,2,0,3,5,4,2,14,15
"411",17,2,1,2,0,3,4,3,4,17,17
"413",18,4,1,2,0,2,2,1,3,17,17
"414",21,1,2,2,2,3,3,2,4,10,10
"415",20,1,2,3,0,2,2,3,3,15,15
"416",19,4,1,1,1,2,5,4,5,10,11
"417",17,3,1,2,0,4,4,2,5,18,18
"418",18,3,1,3,0,3,4,2,2,17,17
"419",18,2,1,1,0,1,3,5,4,14,14
"420",19,2,1,1,0,3,4,4,4,11,11
"422",20,1,2,1,1,3,1,1,5,10,10
"423",18,3,1,2,0,1,2,2,1,13,13
"424",16,1,2,1,0,3,3,3,5,11,11
"427",15,3,2,1,0,4,4,3,5,10,11
"428",16,2,2,2,0,5,2,2,5,17,17
"429",15,2,2,1,0,3,4,1,1,8,9
"430",16,4,1,2,0,3,2,3,2,11,11
"431",16,1,1,3,0,4,3,1,5,11,11
"432",17,3,1,2,1,5,4,2,5,10,10
"433",17,1,1,1,1,4,4,2,5,6,7
"434",15,4,2,1,0,5,1,5,5,14,14
"435",16,2,2,4,0,2,1,1,1,9,11
"437",15,1,2,1,1,4,3,2,2,7,8
"440",15,3,2,1,0,1,3,1,4,16,16
"441",16,1,2,2,0,4,5,5,3,0,0
"442",17,1,1,2,0,4,3,4,5,9,9
"443",15,4,1,2,0,3,4,2,2,13,14
"445",16,3,3,2,0,4,5,2,5,10,11
"446",15,1,4,2,0,4,5,4,4,9,9
"447",15,3,1,2,0,3,3,1,5,11,11
"449",16,4,2,3,0,2,2,1,4,16,17
"450",15,1,2,1,0,1,2,1,1,13,13
"451",16,2,3,2,0,5,4,2,1,15,15
"453",16,2,3,2,0,4,5,1,4,10,11
"454",16,1,1,3,1,3,2,2,4,8,8
"455",16,1,1,3,1,3,2,2,4,8,8
"456",15,2,1,2,0,4,2,3,2,10,9
"457",16,1,1,2,0,4,3,1,2,14,15
"459",16,1,4,4,0,3,2,1,1,10,13
"460",16,1,4,3,0,4,3,1,5,9,10
"461",15,1,2,2,0,3,3,1,2,10,11
"462",16,1,2,1,0,2,2,3,2,12,14
"465",16,1,2,1,0,4,4,4,5,11,11
"467",15,3,2,1,0,2,3,3,4,9,11
"468",16,2,3,2,0,3,4,1,2,13,14
"469",15,2,3,1,0,3,3,2,4,12,13
"470",16,4,1,2,0,3,1,1,3,12,13
"471",15,3,1,2,0,5,4,1,1,12,12
"472",16,2,2,2,1,4,4,3,5,11,12
"473",16,2,3,1,0,3,2,1,4,14,16
"474",16,2,2,1,0,4,3,3,4,8,10
"475",15,1,3,1,0,2,4,5,3,11,11
"476",15,2,2,3,0,3,2,1,4,13,14
"477",16,2,1,1,0,4,3,1,5,8,8
"478",15,3,2,1,0,3,3,4,3,10,11
"480",17,2,1,1,0,5,3,1,5,9,10
"483",15,1,2,1,0,2,1,3,4,10,9
"484",16,2,3,2,0,4,5,2,1,10,11
"485",16,2,1,1,0,3,4,2,1,7,8
"486",17,2,2,2,0,3,5,2,4,10,11
"487",16,2,1,1,1,4,3,4,3,10,10
"488",18,3,2,3,2,3,2,1,2,9,10
"489",19,1,1,3,1,3,1,1,3,9,9
"490",18,1,2,1,1,4,3,4,4,9,10
"491",18,1,2,1,1,2,3,1,2,11,10
"492",19,1,2,2,1,1,4,1,1,8,9
"493",16,2,1,2,0,3,2,1,3,10,10
"494",17,0,2,1,0,4,4,5,5,9,10
"497",16,1,1,1,0,4,4,2,4,14,14
"498",17,3,2,4,1,4,5,4,5,11,10
"499",16,2,1,2,0,3,3,1,1,13,14
"500",16,2,1,1,0,2,5,2,5,16,16
"501",17,1,1,1,1,3,5,5,1,7,7
"502",16,4,1,1,0,2,5,5,5,12,13
"503",17,2,3,4,1,3,5,5,3,8,9
"504",16,1,1,4,0,2,1,1,5,14,14
"505",19,2,1,3,0,4,5,1,1,13,13
"506",17,1,2,1,0,4,5,2,5,11,11
"507",20,3,2,2,1,3,4,4,3,9,10
"508",17,1,1,3,0,3,3,1,3,11,10
"510",16,1,3,2,0,3,2,1,1,17,18
"511",17,2,2,2,0,3,2,1,1,17,17
"513",18,1,1,2,1,3,2,1,5,7,7
"514",16,3,1,1,0,1,3,3,1,6,8
"515",16,3,1,1,0,1,3,4,3,6,7
"516",18,1,2,2,0,3,5,4,3,8,10
"517",16,4,1,2,0,3,3,3,2,16,16
"518",16,1,2,1,0,4,5,4,2,14,15
"519",18,2,1,2,1,3,2,3,1,5,8
"520",16,2,2,2,0,2,1,1,2,7,0
"521",16,1,3,2,0,3,2,3,5,8,8
"522",16,2,2,2,0,3,3,1,2,10,10
"523",16,4,1,2,0,3,4,2,3,8,8
"525",16,3,3,2,0,2,1,1,2,9,8
"526",17,4,1,3,0,4,3,2,5,14,16
"527",17,4,1,1,0,2,3,2,5,14,14
"528",16,2,4,3,0,1,3,2,3,9,10
"529",17,2,1,1,0,1,3,2,5,9,9
"530",16,4,2,1,0,1,3,2,5,11,11
"532",17,1,3,2,0,1,3,3,1,10,10
"533",16,2,2,2,0,2,2,4,5,7,8
"534",16,2,1,2,0,2,2,1,3,15,16
"535",16,4,1,1,0,1,2,5,5,12,12
"536",15,1,3,2,0,5,5,3,5,11,10
"537",15,2,3,4,0,4,5,3,5,14,14
"538",15,2,1,1,0,3,3,2,5,13,12
"541",17,3,2,1,0,3,3,2,1,11,11
"542",17,2,2,2,0,1,3,1,5,9,11
"543",16,4,2,3,0,3,5,4,5,11,12
"544",17,4,3,1,3,3,3,3,5,9,8
"545",17,1,2,1,0,1,2,3,5,11,12
"546",17,3,1,2,1,4,4,4,5,9,8
"547",17,4,1,2,0,2,5,1,5,15,16
"548",16,4,1,1,0,1,2,1,2,11,11
"549",17,1,1,2,0,5,5,2,3,10,11
"550",17,4,2,2,0,3,3,3,5,18,18
"551",16,2,2,2,0,1,2,2,5,13,13
"552",17,3,2,2,0,1,2,2,1,14,13
"554",17,1,1,1,0,1,2,1,5,11,12
"555",17,1,2,1,0,5,5,2,4,11,10
"556",16,1,1,3,0,3,4,1,3,14,13
"557",16,1,1,1,0,4,4,4,5,10,11
"558",17,3,2,2,3,4,4,1,5,9,10
"559",17,2,2,1,0,5,5,5,5,13,10
"560",18,1,3,1,1,3,2,1,4,12,13
"561",17,1,2,1,0,5,5,3,2,9,10
"562",18,1,2,2,0,3,3,4,5,9,10
"563",16,2,1,2,0,4,3,1,1,13,12
"564",17,2,1,1,1,2,1,3,5,0,0
"567",18,1,2,1,1,3,3,3,5,7,9
"569",19,3,2,1,3,2,1,1,3,11,9
"571",16,2,2,1,0,4,3,4,4,8,8
"572",19,2,2,1,3,4,3,3,5,9,9
"573",16,3,2,2,2,5,5,1,1,5,7
"574",17,1,1,1,0,3,2,2,5,9,10
"575",20,1,2,1,1,4,3,4,4,11,10
"576",18,4,1,1,0,4,4,4,2,11,10
"577",18,3,2,1,0,5,5,5,5,10,11
"578",19,1,3,2,1,4,4,3,2,9,11
"579",17,3,2,2,1,5,4,3,3,9,10
"580",18,1,1,1,0,3,3,3,3,10,9
"582",18,1,2,2,2,3,3,1,5,8,8
"585",17,0,2,1,0,4,3,1,5,11,11
"586",17,3,2,3,0,2,3,2,3,7,8
"587",17,4,1,2,0,5,5,3,5,8,0
"588",18,2,1,2,1,3,3,2,4,6,8
"590",17,1,1,1,0,5,1,1,3,10,10
"591",18,1,3,2,2,4,4,2,5,8,7
"593",17,3,2,1,0,4,3,1,4,12,13
"594",18,1,2,2,0,4,3,2,4,13,14
"595",18,4,2,2,0,3,5,2,1,18,18
"596",18,4,1,1,0,4,5,1,5,17,17
"597",17,4,2,2,0,3,3,2,4,18,18
"599",18,1,2,1,0,1,4,5,1,11,11
"600",18,4,3,1,0,5,5,1,1,13,14
"602",18,2,2,2,0,3,1,1,2,8,10
"603",18,2,2,3,0,4,5,4,3,12,13
"604",18,4,1,2,0,3,1,1,5,0,0
"607",17,4,2,4,0,2,3,1,5,18,18
"608",17,2,2,2,0,3,3,2,2,11,12
"609",18,1,1,2,0,2,3,2,3,10,11
"610",18,1,2,2,0,1,1,1,4,11,12
"612",18,2,2,3,0,2,1,1,4,14,15
"613",17,4,2,2,1,5,5,3,2,11,11
"614",18,3,1,2,0,3,4,1,5,10,10
"615",17,4,2,2,0,3,3,2,5,12,12
"616",17,3,2,2,0,2,3,2,5,14,15
"617",18,1,2,1,0,3,2,2,3,13,14
"618",18,1,2,3,0,3,2,1,4,17,18
"619",18,1,3,2,0,3,4,4,5,15,15
"620",18,3,2,2,0,3,2,3,3,12,13
"621",17,4,1,2,0,3,4,1,1,14,15
"623",18,1,2,2,0,3,4,4,3,10,9
"624",18,4,2,3,0,2,2,2,5,16,16
"625",17,1,3,1,1,2,1,2,1,8,9
"626",18,2,2,1,0,2,3,2,4,10,10
"627",18,4,3,2,0,2,2,2,5,5,0
"629",17,2,1,3,0,4,3,1,3,11,12
"630",17,1,1,1,0,5,5,3,1,8,9
"631",18,4,2,3,0,4,4,1,1,17,17
"632",18,1,4,3,0,3,2,2,4,11,12
"633",19,1,2,2,1,3,3,1,3,8,9
"634",18,4,1,2,0,4,3,4,2,14,14
"635",18,3,1,2,0,1,3,2,1,16,16
"636",17,3,1,2,0,5,4,3,1,9,9
"638",18,2,2,1,0,4,3,3,5,7,0
"639",17,2,2,2,0,4,3,1,3,15,16
"640",19,1,2,1,1,3,2,3,5,8,0
"641",18,4,2,1,1,4,3,3,3,7,0
"642",18,2,2,3,0,3,3,3,4,17,15
"643",17,4,2,2,0,5,4,1,1,9,11
"644",18,4,3,1,0,4,3,2,5,9,10
"646",18,3,1,2,0,3,4,1,1,15,16
"647",18,1,2,2,0,1,1,1,5,12,9
"648",17,3,2,1,0,4,5,4,2,10,10
"650",18,4,2,2,0,3,4,1,3,6,6
"651",17,1,1,2,0,3,3,1,3,5,6
"653",15,4,1,3,0,2,2,1,5,14,15
"654",16,3,1,2,0,3,2,2,5,10,10
"656",16,2,1,2,0,4,4,1,3,12,11
"657",17,4,2,2,0,1,4,1,1,5,6
"658",15,3,1,2,0,2,2,1,1,18,19
"660",15,4,1,2,0,3,3,2,2,8,9
"662",15,4,1,1,0,3,3,3,5,14,14
"663",15,4,2,2,0,4,3,2,3,10,11
"664",15,2,1,3,0,5,2,1,3,16,16
"665",16,4,1,1,0,4,4,2,2,14,14
"667",16,3,3,2,0,3,2,1,4,10,10
"668",17,3,1,1,3,5,5,4,5,5,5
"669",16,4,1,1,0,1,3,3,5,10,10
"670",15,4,1,2,0,4,1,1,1,14,15
"673",16,2,2,2,0,4,4,4,5,13,12
"674",15,2,1,3,0,3,2,1,5,9,8
"675",16,2,1,1,2,2,2,3,5,9,8
"676",15,2,1,1,0,2,2,2,5,12,11
"677",15,4,1,1,0,2,4,4,1,16,15
"678",16,3,1,2,0,3,3,1,5,11,11
"679",16,4,1,2,0,4,5,5,5,12,11
"680",15,4,1,2,0,4,2,4,5,11,12
"681",15,4,2,2,0,3,1,1,5,16,17
"682",15,4,1,2,0,5,2,1,5,16,16
"683",15,3,1,2,0,3,2,1,2,10,12
"684",16,3,1,1,0,4,3,1,5,14,15
"685",15,2,2,1,0,5,1,1,5,7,6
"686",15,4,1,3,0,4,3,1,4,16,18
"687",16,4,2,3,0,4,3,1,5,16,15
"692",15,4,1,2,0,3,3,1,5,18,18
"693",15,2,1,1,0,4,1,1,1,8,11
"694",16,2,2,2,1,3,3,2,5,10,9
"695",15,4,1,2,0,2,2,1,5,8,6
"698",15,4,1,2,0,3,3,2,5,15,14
"699",15,4,1,2,1,4,4,1,3,7,7
"700",16,2,3,2,0,3,3,3,4,13,13
"701",15,4,1,2,0,3,3,1,5,13,13
"703",15,4,1,1,0,3,4,3,5,10,11
"705",16,2,1,2,0,3,4,1,2,9,10
"706",15,4,1,2,0,3,2,1,1,15,15
"707",15,4,1,2,0,2,2,1,5,15,15
"708",15,1,1,2,0,3,2,1,5,10,9
