age,Medu,traveltime,studytime,failures,freetime,goout,Walc,health,G2,G3
15,3,1,1,0,4,3,2,4,13,14
15,1,1,2,0,2,3,2,1,14,14
15,2,1,4,0,5,4,2,5,13,13
16,2,2,2,0,2,2,2,5,12,13
16,4,1,1,0,4,4,4,5,13,13
16,2,1,2,0,4,4,1,5,11,11
15,3,1,1,0,5,5,2,5,9,9
15,3,1,2,0,3,2,1,1,11,11
19,0,1,2,2,4,2,1,5,10,11
16,4,1,1,0,5,5,5,4,14,15
16,2,2,3,0,2,3,2,1,12,13
15,3,2,3,0,2,2,2,5,11,12
18,2,1,2,3,4,5,3,5,9,8
17,2,3,1,0,2,2,2,5,10,11
15,1,3,1,0,3,3,2,4,12,13
17,2,1,1,0,4,4,3,5,12,12
16,3,1,1,0,2,1,4,5,13,14
16,2,4,1,0,2,1,1,2,9,11
16,2,1,1,1,3,4,1,5,11,11
15,3,4,2,0,3,3,1,5,11,11
15,4,1,3,0,3,3,1,5,14,15
17,3,3,2,0,4,5,4,5,9,10
16,1,4,2,0,1,3,1,3,13,13
18,3,2,1,0,3,4,5,4,11,12
18,3,1,3,0,3,3,1,5,11,11
16,1,2,1,0,3,3,2,1,11,11
16,3,2,1,0,3,2,1,5,9,10
16,1,1,2,2,4,4,3,5,10,10
15,4,2,1,0,3,2,1,5,14,14
15,1,3,1,1,5,5,1,1,9,9
15,4,2,4,0,2,2,1,3,11,11
15,3,1,2,0,3,2,3,1,8,9
16,4,1,3,0,3,3,3,5,13,13
16,2,2,1,0,3,3,2,2,11,11
15,4,1,3,0,2,2,1,5,13,13
16,1,1,1,0,4,4,3,1,11,11
17,2,1,1,0,4,5,2,5,7,6
15,1,1,2,0,4,2,2,5,12,12
15,2,2,1,0,4,2,1,5,10,10
15,3,1,2,1,3,2,1,3,11,11
15,1,1,2,0,3,2,1,5,12,13
15,1,1,2,0,3,4,4,1,11,11
16,4,1,1,0,3,2,1,5,9,8
15,2,4,1,0,5,5,5,5,11,11
18,1,1,1,2,3,5,5,4,9,0
16,2,1,1,1,4,4,5,5,10,10
15,3,2,3,0,2,1,3,3,13,13
19,3,1,1,0,5,4,1,4,9,11
17,4,1,1,0,2,1,1,4,13,13
15,2,1,2,0,4,4,1,1,8,8
17,1,1,1,3,2,2,3,5,8,10
18,1,3,1,3,2,5,5,4,10,11
16,2,3,1,0,2,2,2,3,10,11
16,3,1,2,1,5,5,4,5,10,1
16,1,2,1,2,4,5,5,5,8,10
17,2,2,1,1,3,2,2,5,8,9
17,3,2,2,2,4,4,4,3,6,8
15,1,2,1,0,4,4,4,5,9,10
16,1,1,1,1,3,3,4,2,8,8
17,1,4,2,0,3,5,5,5,8,8
17,3,2,1,3,5,2,1,2,7,8
16,2,1,2,0,3,5,4,4,10,11
16,4,1,2,0,2,3,1,3,17,18
16,2,1,2,0,1,5,1,4,12,13
16,4,1,2,0,4,2,1,3,16,17
16,3,3,1,1,4,5,4,2,9,10
16,1,2,2,0,3,2,1,3,17,18
17,4,1,2,0,4,4,3,5,9,10
16,1,1,2,0,3,5,1,3,13,13
16,3,2,2,0,4,5,1,4,14,15
17,4,2,2,0,4,4,4,4,11,11
16,2,2,2,0,4,4,4,5,12,14
17,3,1,2,0,3,4,4,4,9,10
16,4,1,1,0,3,3,4,3,9,11
17,4,1,2,0,2,3,1,2,11,13
16,4,1,2,0,4,3,3,3,10,11
16,3,1,2,0,2,3,2,3,12,13
17,2,1,2,0,4,2,3,5,18,17
17,3,1,2,0,3,3,3,1,13,14
16,3,1,2,0,2,2,2,1,15,16
17,3,1,2,0,3,4,3,4,13,14
16,1,1,1,0,3,3,2,3,9,11
16,2,1,2,0,2,3,2,5,14,16
17,3,1,2,0,3,3,3,3,13,14
17,1,1,2,0,1,3,5,3,9,10
16,2,1,2,0,3,3,1,2,12,13
17,1,1,2,0,3,3,1,3,11,12
17,1,2,2,0,4,4,5,5,11,12
16,3,1,1,0,3,2,4,5,10,10
16,2,2,1,0,3,3,1,3,12,12
17,2,1,2,0,3,2,1,5,15,16
17,4,1,1,0,2,3,2,5,13,14
16,3,3,1,0,3,4,5,3,11,12
17,4,2,1,1,2,4,3,2,15,16
16,4,1,2,0,5,2,2,3,10,11
16,4,1,2,0,3,5,5,2,14,15
16,2,1,2,0,4,3,3,4,12,12
17,1,1,2,0,4,4,3,1,15,15
17,2,1,1,0,3,2,2,3,13,13
16,2,2,4,0,3,5,1,5,13,13
17,3,1,3,1,4,3,4,5,9,8
16,3,1,2,0,3,3,2,4,11,12
16,4,1,2,0,3,2,1,1,15,15
16,1,2,1,0,3,2,4,5,13,13
17,4,2,3,0,4,2,1,4,12,12
19,3,1,4,0,3,3,2,3,12,12
17,4,1,2,0,3,5,5,3,12,12
16,2,1,2,0,3,4,1,4,13,13
18,2,1,2,0,4,4,4,5,11,11
17,4,1,1,0,2,1,2,3,11,11
17,3,2,2,0,4,4,3,1,16,15
17,4,1,2,0,4,5,4,1,9,10
18,3,1,2,0,2,4,4,4,10,10
17,2,2,1,0,3,3,4,3,13,13
17,2,1,3,0,3,3,1,4,12,13
17,2,2,2,0,2,5,2,5,10,11
17,1,1,3,0,3,4,1,5,12,12
16,2,1,2,0,3,1,1,3,13,14
18,2,2,2,3,3,3,5,4,9,10
16,4,1,3,0,3,2,1,5,16,16
18,3,1,2,0,3,3,1,4,8,8
17,3,1,2,0,3,4,3,3,18,17
17,2,1,2,0,3,3,3,3,11,11
18,2,4,2,0,3,2,5,3,10,11
17,2,2,3,0,2,3,2,3,15,16
17,4,1,2,0,2,3,2,3,12,12
17,2,2,2,0,5,2,1,1,13,13
17,4,1,2,0,5,5,3,2,13,13
16,4,1,2,0,2,4,4,1,13,14
16,1,2,2,0,4,2,1,5,9,9
16,3,2,3,0,3,3,3,2,12,12
17,2,1,2,0,4,2,5,4,16,16
16,2,1,1,0,5,2,1,5,10,10
16,4,1,2,0,3,3,2,5,13,13
18,2,2,2,1,3,3,1,3,10,10
18,2,1,2,1,3,1,1,5,8,10
18,3,2,1,1,1,1,1,3,7,7
18,2,1,1,1,4,3,2,1,8,8
17,4,1,1,0,2,1,2,5,8,9
17,3,1,2,0,4,2,1,3,14,15
17,1,1,3,0,3,2,2,4,10,10
16,1,1,1,0,3,5,2,5,11,11
17,2,3,2,0,1,1,1,3,13,13
17,1,4,1,1,5,4,1,5,9,8
18,2,1,2,0,5,4,5,2,7,8
17,2,1,1,1,1,2,1,1,9,10
17,1,2,3,0,3,3,3,5,14,15
17,4,1,2,0,3,2,1,4,14,14
17,4,2,2,0,5,5,4,5,15,15
17,4,2,2,0,3,3,3,4,12,12
16,4,1,1,0,4,5,1,3,14,15
16,4,1,1,0,3,2,2,5,15,15
17,4,1,2,0,3,1,4,5,11,12
17,1,2,3,0,3,3,1,1,14,15
17,3,2,3,0,2,2,3,5,11,11
17,1,1,2,0,3,2,1,4,9,10
18,2,2,3,0,4,4,1,3,10,11
16,2,3,1,0,3,3,1,4,16,16
17,1,1,2,0,3,4,2,5,10,11
17,2,2,1,0,2,2,1,2,12,13
22,3,1,1,3,4,5,5,1,8,5
18,3,1,2,0,3,3,3,5,9,10
16,0,1,1,0,3,2,4,5,12,11
18,3,2,1,0,4,5,4,5,8,7
16,3,3,2,1,3,3,3,2,11,10
18,2,1,1,2,2,5,5,5,8,6
16,2,2,1,0,3,2,3,3,13,12
17,2,1,1,0,4,2,4,5,12,13
17,1,2,1,1,4,4,2,5,10,10
18,2,1,2,0,3,4,3,5,12,13
17,4,1,4,0,2,3,1,4,15,17
19,2,1,2,0,3,3,1,5,10,11
18,2,3,2,1,4,5,4,5,10,11
17,4,1,3,0,3,4,3,5,12,14
18,1,1,3,0,4,3,3,3,12,14
18,2,1,2,0,2,3,1,5,11,13
19,4,1,2,0,3,1,1,1,13,14
18,2,1,2,0,2,4,2,4,16,16
17,2,2,1,0,2,2,1,4,10,10
17,2,1,4,0,4,1,1,2,11,12
20,2,2,2,0,2,3,2,2,12,12
18,4,1,2,0,1,2,3,2,15,15
18,4,1,2,0,3,2,1,3,10,11
18,3,1,3,0,3,2,1,3,11,12
17,3,1,3,0,2,3,1,4,12,13
18,2,1,3,0,3,3,1,3,12,13
17,2,2,1,0,4,4,3,4,8,9
18,3,2,2,0,2,5,4,1,16,16
17,3,1,2,0,4,4,4,5,11,14
18,4,2,2,0,3,4,2,4,11,12
18,4,1,2,0,4,5,3,5,12,14
18,2,2,2,0,3,5,2,3,9,10
19,3,1,2,0,3,5,3,5,12,12
18,2,1,4,0,5,5,3,2,16,16
18,1,2,2,0,4,3,1,3,13,13
17,1,1,2,0,5,2,2,1,17,18
18,2,1,2,0,2,5,2,1,14,15
17,2,2,2,0,3,3,1,1,16,16
17,2,2,2,0,4,4,3,5,12,12
18,3,2,2,0,1,1,1,5,9,10
18,4,2,1,0,2,4,4,3,12,12
18,4,1,2,1,4,4,1,4,12,13
17,2,3,3,0,2,3,1,1,15,15
19,3,1,2,1,3,3,3,3,8,10
18,4,2,1,0,2,3,2,1,10,10
18,1,2,1,0,4,4,4,4,10,11
17,4,2,1,0,5,4,4,5,11,10
17,3,1,1,0,4,4,4,3,13,13
18,1,2,4,0,2,2,1,3,17,18
18,1,2,2,0,4,4,1,4,13,13
17,2,1,2,0,4,5,2,5,12,14
18,2,2,2,0,3,1,1,5,13,14
17,1,1,2,0,3,3,2,4,12,12
18,2,1,3,0,3,3,2,2,18,18
17,1,1,3,0,3,3,1,3,13,14
18,2,1,3,0,2,4,3,2,15,15
18,4,1,2,0,4,3,1,2,17,17
18,4,1,2,0,3,2,4,5,16,16
17,4,1,3,0,2,2,2,3,18,18
17,3,2,4,0,1,2,1,3,19,19
18,3,2,3,0,4,2,1,4,15,15
17,3,1,1,0,4,3,3,5,15,15
19,4,2,2,0,3,4,3,2,13,13
18,4,2,2,0,4,5,2,2,14,14
18,4,1,4,0,3,3,1,3,17,17
18,4,1,1,0,4,2,2,1,18,17
18,4,1,2,0,2,4,1,4,15,15
17,4,2,1,0,1,1,2,5,13,13
17,4,2,3,0,3,4,1,5,7,8
17,4,2,3,0,3,3,1,3,16,16
17,3,1,4,0,2,2,2,5,18,18
19,2,2,3,1,3,1,1,5,10,11
20,3,1,1,2,5,3,1,5,15,15
19,3,1,2,0,5,3,2,5,10,11
18,1,1,2,0,4,4,2,5,10,11
18,2,2,2,0,3,3,2,1,12,15
17,2,2,2,0,2,1,1,3,12,14
17,4,1,1,0,4,4,1,5,16,17
18,4,1,3,0,3,4,1,5,15,17
18,4,2,1,0,2,4,4,1,12,15
17,3,1,3,0,3,4,5,5,15,17
18,3,1,2,0,1,4,1,3,12,14
19,4,2,2,0,4,4,1,1,10,10
18,4,1,2,0,4,4,3,5,11,13
18,3,1,1,0,4,4,1,1,12,14
17,4,1,1,0,3,4,2,5,15,17
17,4,1,2,0,2,2,2,5,14,17
17,3,1,2,0,3,3,1,5,12,13
17,2,1,2,0,2,3,2,2,12,14
18,4,1,1,0,2,5,4,5,9,11
19,1,3,3,0,5,5,3,5,10,11
19,1,3,2,2,3,4,1,4,8,9
18,2,1,1,0,3,5,4,5,10,10
17,2,1,2,0,2,2,1,3,13,13
17,2,1,3,0,3,2,2,3,11,10
17,3,1,3,0,4,3,3,5,18,17
17,0,2,3,0,3,3,3,2,14,15
18,1,2,3,0,5,5,2,2,14,14
18,4,1,3,0,3,3,2,3,14,13
17,3,1,1,0,3,5,5,5,18,17
17,2,4,1,0,4,5,5,4,10,10
17,4,1,3,0,4,4,3,4,12,13
17,4,2,3,0,3,3,2,4,14,15
17,3,1,1,0,2,5,5,5,12,11
18,2,1,4,0,5,5,4,5,11,12
19,3,1,1,0,3,4,2,5,10,10
18,2,4,2,0,2,5,1,2,9,10
17,2,1,3,0,4,3,1,5,15,15
18,2,1,1,0,4,2,2,5,14,15
18,3,1,2,0,3,4,1,4,11,12
18,2,1,2,0,3,3,1,2,9,12
18,2,2,4,0,4,4,1,4,13,14
17,3,1,3,0,4,5,3,5,13,14
17,3,1,2,0,3,2,3,2,13,15
18,3,1,4,0,3,3,1,1,14,15
17,3,1,2,0,3,3,3,2,14,16
18,4,1,2,0,3,3,2,2,12,13
18,3,1,2,0,3,3,3,5,16,17
17,2,1,2,0,3,1,2,4,12,14
18,2,1,3,0,3,3,2,3,12,14
18,3,1,3,0,4,3,3,1,16,17
18,4,1,3,0,3,2,2,4,14,17
18,4,1,3,0,4,5,3,5,13,14
17,4,1,3,0,4,3,3,4,12,13
17,2,2,2,0,3,4,2,1,15,15
17,2,1,2,0,3,5,4,4,16,16
19,2,2,1,1,2,3,4,5,11,11
17,3,1,1,1,1,2,1,3,13,13
21,4,1,3,2,3,2,1,5,12,12
18,2,1,2,0,4,4,3,3,11,12
18,3,1,2,0,3,5,4,2,14,15
17,2,1,2,0,3,4,3,4,17,17
17,4,1,3,0,4,2,2,4,15,15
18,4,1,2,0,2,2,1,3,17,17
21,1,2,2,2,3,3,2,4,10,10
20,1,2,3,0,2,2,3,3,15,15
19,4,1,1,1,2,5,4,5,10,11
17,3,1,2,0,4,4,2,5,18,18
18,3,1,3,0,3,4,2,2,17,17
18,2,1,1,0,1,3,5,4,14,14
19,2,1,1,0,3,4,4,4,11,11
18,2,2,2,0,1,4,3,4,17,17
20,1,2,1,1,3,1,1,5,10,10
18,3,1,2,0,1,2,2,1,13,13
16,1,2,1,0,3,3,3,5,11,11
16,2,2,2,0,4,4,1,5,12,12
15,1,1,1,1,1,3,1,2,10,10
15,3,2,1,0,4,4,3,5,10,11
16,2,2,2,0,5,2,2,5,17,17
15,2,2,1,0,3,4,1,1,8,9
16,4,1,2,0,3,2,3,2,11,11
16,1,1,3,0,4,3,1,5,11,11
17,3,1,2,1,5,4,2,5,10,10
17,1,1,1,1,4,4,2,5,6,7
15,4,2,1,0,5,1,5,5,14,14
16,2,2,4,0,2,1,1,1,9,11
15,1,2,2,0,4,3,2,4,10,10
15,1,2,1,1,4,3,2,2,7,8
16,0,2,1,0,2,3,2,2,11,12
17,2,2,1,0,5,5,3,3,11,12
15,3,2,1,0,1,3,1,4,16,16
16,1,2,2,0,4,5,5,3,0,0
17,1,1,2,0,4,3,4,5,9,9
15,4,1,2,0,3,4,2,2,13,14
15,4,1,2,0,3,4,2,2,9,8
16,3,3,2,0,4,5,2,5,10,11
15,1,4,2,0,4,5,4,4,9,9
15,3,1,2,0,3,3,1,5,11,11
17,2,3,1,0,5,5,5,3,10,9
16,4,2,3,0,2,2,1,4,16,17
15,1,2,1,0,1,2,1,1,13,13
16,2,3,2,0,5,4,2,1,15,15
16,1,2,2,0,3,3,1,5,11,11
16,2,3,2,0,4,5,1,4,10,11
16,1,1,3,1,3,2,2,4,8,8
16,1,1,3,1,3,2,2,4,8,8
15,2,1,2,0,4,2,3,2,10,9
16,1,1,2,0,4,3,1,2,14,15
17,1,1,1,0,5,5,5,3,11,11
16,1,4,4,0,3,2,1,1,10,13
16,1,4,3,0,4,3,1,5,9,10
15,1,2,2,0,3,3,1,2,10,11
16,1,2,1,0,2,2,3,2,12,14
15,1,3,2,0,2,1,2,2,14,14
15,2,1,3,0,4,3,2,5,11,12
16,1,2,1,0,4,4,4,5,11,11
18,1,1,2,1,4,4,3,5,8,8
15,3,2,1,0,2,3,3,4,9,11
16,2,3,2,0,3,4,1,2,13,14
15,2,3,1,0,3,3,2,4,12,13
16,4,1,2,0,3,1,1,3,12,13
15,3,1,2,0,5,4,1,1,12,12
16,2,2,2,1,4,4,3,5,11,12
16,2,3,1,0,3,2,1,4,14,16
16,2,2,1,0,4,3,3,4,8,10
15,1,3,1,0,2,4,5,3,11,11
15,2,2,3,0,3,2,1,4,13,14
16,2,1,1,0,4,3,1,5,8,8
15,3,2,1,0,3,3,4,3,10,11
16,1,2,2,3,4,3,1,1,7,8
17,2,1,1,0,5,3,1,5,9,10
19,2,1,1,1,4,4,1,2,9,10
17,2,3,1,0,5,3,1,3,10,11
15,1,2,1,0,2,1,3,4,10,9
16,2,3,2,0,4,5,2,1,10,11
16,2,1,1,0,3,4,2,1,7,8
17,2,2,2,0,3,5,2,4,10,11
16,2,1,1,1,4,3,4,3,10,10
18,3,2,3,2,3,2,1,2,9,10
19,1,1,3,1,3,1,1,3,9,9
18,1,2,1,1,4,3,4,4,9,10
18,1,2,1,1,2,3,1,2,11,10
19,1,2,2,1,1,4,1,1,8,9
16,2,1,2,0,3,2,1,3,10,10
17,0,2,1,0,4,4,5,5,9,10
16,1,1,2,0,4,5,3,3,9,9
16,3,1,1,0,5,4,1,4,13,13
16,1,1,1,0,4,4,2,4,14,14
17,3,2,4,1,4,5,4,5,11,10
16,2,1,2,0,3,3,1,1,13,14
16,2,1,1,0,2,5,2,5,16,16
17,1,1,1,1,3,5,5,1,7,7
16,4,1,1,0,2,5,5,5,12,13
17,2,3,4,1,3,5,5,3,8,9
16,1,1,4,0,2,1,1,5,14,14
19,2,1,3,0,4,5,1,1,13,13
17,1,2,1,0,4,5,2,5,11,11
20,3,2,2,1,3,4,4,3,9,10
17,1,1,3,0,3,3,1,3,11,10
17,2,3,1,1,4,5,2,5,9,9
16,1,3,2,0,3,2,1,1,17,18
17,2,2,2,0,3,2,1,1,17,17
17,1,2,2,0,4,5,1,4,9,10
18,1,1,2,1,3,2,1,5,7,7
16,3,1,1,0,1,3,3,1,6,8
16,3,1,1,0,1,3,4,3,6,7
18,1,2,2,0,3,5,4,3,8,10
16,4,1,2,0,3,3,3,2,16,16
16,1,2,1,0,4,5,4,2,14,15
18,2,1,2,1,3,2,3,1,5,8
16,2,2,2,0,2,1,1,2,7,0
16,1,3,2,0,3,2,3,5,8,8
16,2,2,2,0,3,3,1,2,10,10
16,4,1,2,0,3,4,2,3,8,8
18,4,1,4,0,5,5,5,5,6,6
16,3,3,2,0,2,1,1,2,9,8
17,4,1,3,0,4,3,2,5,14,16
17,4,1,1,0,2,3,2,5,14,14
16,2,4,3,0,1,3,2,3,9,10
17,2,1,1,0,1,3,2,5,9,9
16,4,2,1,0,1,3,2,5,11,11
17,3,1,1,0,1,4,5,3,10,9
17,1,3,2,0,1,3,3,1,10,10
16,2,2,2,0,2,2,4,5,7,8
16,2,1,2,0,2,2,1,3,15,16
16,4,1,1,0,1,2,5,5,12,12
15,1,3,2,0,5,5,3,5,11,10
15,2,3,4,0,4,5,3,5,14,14
15,2,1,1,0,3,3,2,5,13,12
16,2,1,3,0,3,3,2,5,11,11
16,4,2,2,0,2,4,2,1,10,10
17,3,2,1,0,3,3,2,1,11,11
17,2,2,2,0,1,3,1,5,9,11
16,4,2,3,0,3,5,4,5,11,12
17,4,3,1,3,3,3,3,5,9,8
17,1,2,1,0,1,2,3,5,11,12
17,3,1,2,1,4,4,4,5,9,8
17,4,1,2,0,2,5,1,5,15,16
16,4,1,1,0,1,2,1,2,11,11
17,1,1,2,0,5,5,2,3,10,11
17,4,2,2,0,3,3,3,5,18,18
16,2,2,2,0,1,2,2,5,13,13
17,3,2,2,0,1,2,2,1,14,13
19,1,1,2,2,4,3,4,4,9,10
17,1,1,1,0,1,2,1,5,11,12
17,1,2,1,0,5,5,2,4,11,10
16,1,1,3,0,3,4,1,3,14,13
16,1,1,1,0,4,4,4,5,10,11
17,3,2,2,3,4,4,1,5,9,10
17,2,2,1,0,5,5,5,5,13,10
18,1,3,1,1,3,2,1,4,12,13
17,1,2,1,0,5,5,3,2,9,10
18,1,2,2,0,3,3,4,5,9,10
16,2,1,2,0,4,3,1,1,13,12
17,2,1,1,1,2,1,3,5,0,0
16,3,2,1,0,5,5,3,5,9,10
16,1,2,1,0,5,5,4,5,10,9
18,1,2,1,1,3,3,3,5,7,9
18,3,1,1,1,3,1,2,5,0,0
19,3,2,1,3,2,1,1,3,11,9
18,3,1,2,2,4,5,3,3,8,8
16,2,2,1,0,4,3,4,4,8,8
19,2,2,1,3,4,3,3,5,9,9
16,3,2,2,2,5,5,1,1,5,7
17,1,1,1,0,3,2,2,5,9,10
20,1,2,1,1,4,3,4,4,11,10
18,4,1,1,0,4,4,4,2,11,10
18,3,2,1,0,5,5,5,5,10,11
19,1,3,2,1,4,4,3,2,9,11
17,3,2,2,1,5,4,3,3,9,10
18,1,1,1,0,3,3,3,3,10,9
19,1,3,1,1,4,4,3,5,9,10
18,1,2,2,2,3,3,1,5,8,8
19,1,1,1,0,4,4,1,5,8,7
18,2,2,1,1,5,5,1,3,6,0
17,0,2,1,0,4,3,1,5,11,11
17,3,2,3,0,2,3,2,3,7,8
17,4,1,2,0,5,5,3,5,8,0
18,2,1,2,1,3,3,2,4,6,8
17,4,1,1,0,2,2,1,5,10,9
17,1,1,1,0,5,1,1,3,10,10
18,1,3,2,2,4,4,2,5,8,7
18,2,2,2,0,3,5,1,1,13,14
17,3,2,1,0,4,3,1,4,12,13
18,1,2,2,0,4,3,2,4,13,14
18,4,2,2,0,3,5,2,1,18,18
18,4,1,1,0,4,5,1,5,17,17
17,4,2,2,0,3,3,2,4,18,18
18,2,3,2,1,3,3,1,4,0,0
18,1,2,1,0,1,4,5,1,11,11
18,4,3,1,0,5,5,1,1,13,14
17,1,3,1,0,2,3,4,4,13,14
18,2,2,2,0,3,1,1,2,8,10
18,2,2,3,0,4,5,4,3,12,13
18,4,1,2,0,3,1,1,5,0,0
18,1,3,2,1,4,2,2,2,10,10
19,1,2,1,1,5,5,3,2,0,0
17,4,2,4,0,2,3,1,5,18,18
17,2,2,2,0,3,3,2,2,11,12
18,1,1,2,0,2,3,2,3,10,11
18,1,2,2,0,1,1,1,4,11,12
19,1,2,2,3,5,4,4,1,0,0
18,2,2,3,0,2,1,1,4,14,15
17,4,2,2,1,5,5,3,2,11,11
18,3,1,2,0,3,4,1,5,10,10
17,4,2,2,0,3,3,2,5,12,12
17,3,2,2,0,2,3,2,5,14,15
18,1,2,1,0,3,2,2,3,13,14
18,1,2,3,0,3,2,1,4,17,18
18,1,3,2,0,3,4,4,5,15,15
18,3,2,2,0,3,2,3,3,12,13
17,4,1,2,0,3,4,1,1,14,15
17,1,2,2,0,2,2,2,3,13,13
18,1,2,2,0,3,4,4,3,10,9
18,4,2,3,0,2,2,2,5,16,16
17,1,3,1,1,2,1,2,1,8,9
18,2,2,1,0,2,3,2,4,10,10
18,4,3,2,0,2,2,2,5,5,0
18,1,3,1,0,3,3,3,3,10,10
17,2,1,3,0,4,3,1,3,11,12
17,1,1,1,0,5,5,3,1,8,9
18,4,2,3,0,4,4,1,1,17,17
18,1,4,3,0,3,2,2,4,11,12
19,1,2,2,1,3,3,1,3,8,9
